test_num,kSineBeta,kSineAlpha,swc_value,swc_sl_passed,swc_all_passed,swc_diff_swcr,swcr_sl_passed,sin_el_passed,sl_check1_passed,sl_check2_passed
1,0,472,2015,0,0,0,0,1,0,0,
2,0,-473,2015,0,0,0,0,0,0,0,
3,472,0,3055,0,0,0,0,1,0,0,
4,-473,0,3055,0,0,0,0,1,0,0,
5,360,360,3575,0,0,0,0,1,0,0,
6,-361,360,3575,0,0,0,0,1,0,0,
7,360,-361,3575,0,0,0,0,0,0,0,
8,-361,-361,3575,0,0,0,0,0,0,0,
9,228,456,3835,0,0,0,0,1,0,0,
10,-229,456,3835,0,0,0,0,1,0,0,
11,228,-457,3835,0,0,0,0,0,0,0,
12,-229,-457,3835,0,0,0,0,0,0,0,
13,456,228,3965,0,0,0,0,1,0,0,
14,456,-229,3965,0,0,0,0,0,0,0,
15,-457,228,3965,0,0,0,0,1,0,0,
16,-457,-229,3965,0,0,0,0,0,0,0,
17,0,0,4030,1,1,0,1,1,1,1,
18,-509,-99,3055,0,0,0,0,1,0,0,
19,-506,-91,3055,0,0,0,0,1,0,0,
20,-485,-157,3055,0,0,0,0,0,0,0,
21,-481,-141,3055,0,0,0,0,1,0,0,
22,-465,-188,4095,0,0,0,0,0,0,0,
23,-463,-183,4030,1,0,1,1,0,1,1,
24,-462,-191,4095,0,0,0,1,0,1,1,
25,-461,-181,4030,1,1,0,1,1,1,1,
26,-456,-204,4095,0,0,0,1,0,1,1,
27,-451,-191,4030,1,1,0,1,1,1,1,
28,-421,-238,4095,0,0,0,1,0,1,1,
29,-418,-226,4030,1,1,0,1,1,1,1,
30,-412,-243,4095,0,0,0,1,0,1,1,
31,-409,-235,4030,1,1,0,1,1,1,1,
32,-397,-257,4095,0,0,0,1,0,1,1,
33,-395,-246,4030,1,1,0,1,1,1,1,
34,-390,-259,4095,0,0,0,1,0,1,1,
35,-386,-251,4030,1,1,0,1,1,1,1,
36,-384,-261,4095,0,0,0,1,0,1,1,
37,-383,-255,4030,1,1,0,1,1,1,1,
38,-381,-268,4095,0,0,0,1,0,1,1,
39,-379,-261,4030,1,0,1,1,0,1,1,
40,-377,-268,4095,0,0,0,1,0,1,1,
41,-375,-261,4030,1,1,0,1,1,1,1,
42,-374,-271,4095,0,0,0,1,0,1,1,
43,-372,-261,4030,1,1,0,1,1,1,1,
44,-368,-277,4095,0,0,0,1,0,1,1,
45,-365,-268,4030,1,1,0,1,1,1,1,
46,-361,-278,4095,0,0,0,1,0,1,1,
47,-358,-271,4030,1,1,0,1,1,1,1,
48,-356,-289,4095,0,0,0,1,0,1,1,
49,-352,-274,4030,1,1,0,1,1,1,1,
50,-348,-286,4095,0,0,0,1,0,1,1,
51,-346,-281,4030,1,0,1,1,0,1,1,
52,-296,-316,4095,0,0,0,1,0,1,1,
53,-291,-311,4030,1,0,1,1,0,1,1,
54,-264,-327,4095,0,0,0,1,0,1,1,
55,-253,-325,4030,1,1,0,1,1,1,1,
56,-252,-331,4095,0,0,0,1,0,1,1,
57,-251,-326,4030,1,1,0,1,1,1,1,
58,-246,-336,4095,0,0,0,1,0,1,1,
59,-241,-329,4030,1,1,0,1,1,1,1,
60,-233,-345,4095,0,0,0,1,0,1,1,
61,-226,-334,4030,1,1,0,1,1,1,1,
62,-133,-369,4095,0,0,0,1,0,1,1,
63,-126,-361,4030,1,0,1,1,0,1,1,
64,-114,-371,4095,0,0,0,1,0,1,1,
65,-114,-361,4030,1,1,0,1,1,1,1,
66,-101,-371,4095,0,0,0,1,0,1,1,
67,-101,-365,4030,1,0,1,1,0,1,1,
68,-83,-372,4095,0,0,0,1,0,1,1,
69,-83,-367,4030,1,0,1,1,0,1,1,
70,-71,-375,4095,0,0,0,1,0,1,1,
71,-71,-369,4030,1,0,1,1,0,1,1,
72,-31,-377,4095,0,0,0,1,0,1,1,
73,-31,-371,4030,1,0,1,1,0,1,1,
74,30,-371,4030,1,0,1,1,0,1,1,
75,30,-377,4095,0,0,0,1,0,1,1,
76,70,-369,4030,1,0,1,1,0,1,1,
77,70,-375,4095,0,0,0,1,0,1,1,
78,82,-372,4095,0,0,0,1,0,1,1,
79,82,-367,4030,1,0,1,1,0,1,1,
80,113,-371,4095,0,0,0,1,0,1,1,
81,113,-361,4030,1,1,0,1,1,1,1,
82,100,-365,4030,1,0,1,1,0,1,1,
83,100,-371,4095,0,0,0,1,0,1,1,
84,125,-361,4030,1,0,1,1,0,1,1,
85,132,-369,4095,0,0,0,1,0,1,1,
86,225,-334,4030,1,1,0,1,1,1,1,
87,232,-345,4095,0,0,0,1,0,1,1,
88,240,-329,4030,1,1,0,1,1,1,1,
89,245,-336,4095,0,0,0,1,0,1,1,
90,250,-326,4030,1,1,0,1,1,1,1,
91,251,-331,4095,0,0,0,1,0,1,1,
92,252,-325,4030,1,1,0,1,1,1,1,
93,263,-327,4095,0,0,0,1,0,1,1,
94,290,-311,4030,1,0,1,1,0,1,1,
95,295,-316,4095,0,0,0,1,0,1,1,
96,345,-274,4030,1,1,0,1,1,1,1,
97,347,-286,4095,0,0,0,1,0,1,1,
98,351,-281,4095,0,0,0,1,0,1,1,
99,355,-289,4095,0,0,0,1,0,1,1,
100,357,-271,4030,1,1,0,1,1,1,1,
101,360,-278,4095,0,0,0,1,0,1,1,
102,364,-268,4030,1,1,0,1,1,1,1,
103,367,-277,4095,0,0,0,1,0,1,1,
104,371,-261,4030,1,1,0,1,1,1,1,
105,373,-271,4095,0,0,0,1,0,1,1,
106,374,-261,4030,1,1,0,1,1,1,1,
107,376,-268,4095,0,0,0,1,0,1,1,
108,378,-261,4030,1,0,1,1,0,1,1,
109,380,-268,4095,0,0,0,1,0,1,1,
110,382,-255,4030,1,1,0,1,1,1,1,
111,383,-261,4095,0,0,0,1,0,1,1,
112,385,-251,4030,1,1,0,1,1,1,1,
113,389,-259,4095,0,0,0,1,0,1,1,
114,394,-246,4030,1,1,0,1,1,1,1,
115,396,-257,4095,0,0,0,1,0,1,1,
116,408,-235,4030,1,1,0,1,1,1,1,
117,411,-243,4095,0,0,0,1,0,1,1,
118,417,-226,4030,1,1,0,1,1,1,1,
119,420,-238,4095,0,0,0,1,0,1,1,
120,450,-191,4030,1,1,0,1,1,1,1,
121,455,-204,4095,0,0,0,1,0,1,1,
122,460,-181,4030,1,1,0,1,1,1,1,
123,461,-191,4095,0,0,0,1,0,1,1,
124,462,-183,4030,1,0,1,1,0,1,1,
125,464,-188,4095,0,0,0,1,0,1,1,
126,480,-141,3055,0,0,0,0,1,0,0,
127,484,-157,3055,0,0,0,0,0,0,0,
128,505,-91,3055,0,0,0,0,1,0,0,
129,508,-99,3055,0,0,0,0,1,0,0,
130,75,483,2015,0,0,0,0,1,0,0,
131,75,466,4030,1,0,1,0,1,0,0,
132,75,475,2015,0,0,0,0,1,0,0,
133,397,328,3575,0,0,0,0,1,0,0,
134,390,320,4030,1,0,1,0,1,0,0,
135,394,324,4030,1,0,1,0,1,0,0,
136,300,419,3835,0,0,0,0,1,0,0,
137,299,414,4030,1,0,1,0,1,0,0,
138,298,409,4030,1,0,1,0,1,0,0,
139,483,65,3055,0,0,0,0,1,0,0,
140,467,65,4030,1,0,1,0,1,0,0,
141,475,65,3055,0,0,0,0,1,0,0,
142,483,-51,3055,0,0,0,0,1,0,0,
143,467,-51,4030,1,0,1,0,1,0,0,
144,475,-51,3055,0,0,0,0,1,0,0,
145,406,-245,4095,0,0,0,1,0,1,1,
146,403,-242,4030,1,0,1,1,0,1,1,
147,404,-243,4030,1,0,1,1,0,1,1,
148,311,-306,4095,0,0,0,1,0,1,1,
149,311,-302,4030,1,0,1,1,0,1,1,
150,311,-304,4095,0,0,0,1,0,1,1,
151,230,-340,4095,0,0,0,1,0,1,1,
152,226,-336,4030,1,0,1,1,0,1,1,
153,228,-338,4030,1,0,1,1,0,1,1,
154,128,-366,4095,0,0,0,1,0,1,1,
155,124,-361,4030,1,0,1,1,0,1,1,
156,126,-363,4030,1,0,1,1,0,1,1,
157,38,-376,4095,0,0,0,1,0,1,1,
158,38,-371,4030,1,0,1,1,0,1,1,
159,38,-373,4030,1,0,1,1,0,1,1,
160,0,-373,4030,1,0,1,1,0,1,1,
161,-75,483,2015,0,0,0,0,1,0,0,
162,-75,466,4030,1,0,1,0,1,0,0,
163,-75,475,2015,0,0,0,0,1,0,0,
164,-397,328,3575,0,0,0,0,1,0,0,
165,-390,320,4030,1,0,1,0,1,0,0,
166,-394,324,4030,1,0,1,0,1,0,0,
167,-300,419,3835,0,0,0,0,1,0,0,
168,-299,414,4030,1,0,1,0,1,0,0,
169,-298,409,4030,1,0,1,0,1,0,0,
170,-483,65,3055,0,0,0,0,1,0,0,
171,-467,65,4030,1,0,1,0,1,0,0,
172,-475,65,3055,0,0,0,0,1,0,0,
